Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96726970-0;CHILEMAT SpA;4906640;23/12/2025;23/12/2025 14:58:44;;0;233663;44396;;;278058;;;;;0;;;;0;;;;
2;33;Del Giro;96726970-0;CHILEMAT SpA;4906639;23/12/2025;23/12/2025 14:58:44;;0;1314756;249804;;;1564560;;;;;0;;;;0;;;;
3;33;Del Giro;96726970-0;CHILEMAT SpA;4906936;23/12/2025;23/12/2025 15:27:32;;0;466571;88649;;;555220;;;;;0;;;;0;;;;
4;33;Del Giro;96726970-0;CHILEMAT SpA;4906993;23/12/2025;23/12/2025 15:38:12;;0;223110;42391;;;265501;;;;;0;;;;0;;;;
5;33;Del Giro;76072694-K;COMERCIAL SOLUEX SpA;561098;24/12/2025;24/12/2025 10:15:38;;0;130200;24738;;;154938;;;;;0;;;;0;;;;
6;33;Del Giro;96726970-0;CHILEMAT SpA;4907735;24/12/2025;24/12/2025 11:37:12;;0;183745;34911;;;218656;;;;;0;;;;0;;;;
7;33;Del Giro;96726970-0;CHILEMAT SpA;4907813;24/12/2025;24/12/2025 11:51:40;;0;779577;148120;;;927697;;;;;0;;;;0;;;;
8;33;Del Giro;96726970-0;CHILEMAT SpA;4908112;24/12/2025;24/12/2025 12:23:43;;0;394498;74955;;;469452;;;;;0;;;;0;;;;
9;33;Del Giro;96726970-0;CHILEMAT SpA;4908111;24/12/2025;24/12/2025 12:23:43;;0;606920;115315;;;722234;;;;;0;;;;0;;;;
10;33;Del Giro;96726970-0;CHILEMAT SpA;4908113;24/12/2025;24/12/2025 12:23:43;;0;2620678;497929;;;3118607;;;;;0;;;;0;;;;
11;33;Del Giro;96726970-0;CHILEMAT SpA;4908472;24/12/2025;24/12/2025 12:59:10;;0;259338;49274;;;308613;;;;;0;;;;0;;;;
12;33;Del Giro;96726970-0;CHILEMAT SpA;4908812;26/12/2025;26/12/2025 14:58:02;;0;348107;66140;;;414248;;;;;0;;;;0;;;;
13;33;Del Giro;96726970-0;CHILEMAT SpA;4908811;26/12/2025;26/12/2025 14:58:02;;0;188762;35865;;;224627;;;;;0;;;;0;;;;
14;33;Del Giro;96726970-0;CHILEMAT SpA;4908813;26/12/2025;26/12/2025 14:58:02;;0;878955;167002;;;1045957;;;;;0;;;;0;;;;
15;33;Del Giro;96726970-0;CHILEMAT SpA;4908814;26/12/2025;26/12/2025 14:58:02;;0;754360;143328;;;897688;;;;;0;;;;0;;;;
16;33;Del Giro;96726970-0;CHILEMAT SpA;4909776;26/12/2025;26/12/2025 15:58:41;;0;94219;17902;;;112120;;;;;0;;;;0;;;;
17;33;Del Giro;96726970-0;CHILEMAT SpA;4909912;26/12/2025;26/12/2025 16:17:26;;0;746665;141866;;;888531;;;;;0;;;;0;;;;
18;33;Del Giro;99061000-2;HDI SEGUROS S.A.;9776485;26/12/2025;27/12/2025 06:20:57;;50474;78088;14837;;;143399;;;;;0;;;;0;;;;
19;33;Del Giro;96726970-0;CHILEMAT SpA;4910094;29/12/2025;29/12/2025 13:13:19;;0;422000;80180;;;502179;;;;;0;;;;0;;;;
20;33;Del Giro;96726970-0;CHILEMAT SpA;4910628;29/12/2025;29/12/2025 13:45:31;;0;45736;8690;;;54425;;;;;0;;;;0;;;;
21;33;Del Giro;96726970-0;CHILEMAT SpA;4910712;29/12/2025;29/12/2025 13:51:14;;0;306127;58164;;;364291;;;;;0;;;;0;;;;
22;33;Del Giro;96726970-0;CHILEMAT SpA;4912962;31/12/2025;31/12/2025 11:59:54;;0;1065591;202462;;;1268054;;;;;0;;;;0;;;;
23;33;Del Giro;96726970-0;CHILEMAT SpA;4913883;31/12/2025;31/12/2025 13:43:15;;0;2432603;462194;;;2894797;;;;;0;;;;0;;;;
24;33;Del Giro;76058647-1;VERISURE CHILE SPA;11776815;01/01/2026;01/01/2026 03:18:31;;0;54035;10267;;;64302;;;;;0;;;;0;;;;
25;33;Del Giro;76058647-1;VERISURE CHILE SPA;11834922;01/01/2026;01/01/2026 08:12:48;;0;64366;12229;;;76595;;;;;0;;;;0;;;;
26;33;Del Giro;96726970-0;CHILEMAT SpA;4915404;31/12/2025;02/01/2026 16:53:33;;0;50000;9500;;;59500;;;;;0;;;;0;;;;
27;33;Del Giro;96689310-9;Transbank S.A;57025151;29/12/2025;02/01/2026 18:47:24;;0;101253;19238;;;120491;;;;;0;;;;0;;;;
28;33;Del Giro;76828790-2;MULTICAJA SA;2892088;31/12/2025;03/01/2026 17:32:07;;0;15494;2944;;;18438;;;;;0;;;;0;;;;
29;33;Del Giro;96726970-0;CHILEMAT SpA;4915464;05/01/2026;05/01/2026 15:17:18;;0;2722183;517215;;;3239398;;;;;0;;;;0;;;;
30;33;Del Giro;96726970-0;CHILEMAT SpA;4915681;05/01/2026;05/01/2026 15:30:17;;0;3382038;642587;;;4024625;;;;;0;;;;0;;;;
31;33;Del Giro;96568740-8;GASCO GLP S.A.;11886894;26/12/2025;06/01/2026 09:44:34;;0;97143;18457;;;115600;;;;;0;;;;0;;;;
32;33;Del Giro;96726970-0;CHILEMAT SpA;4915836;06/01/2026;06/01/2026 11:17:24;;0;450000;85500;;;535500;;;;;0;;;;0;;;;
33;33;Del Giro;77581202-8;ASERRADERO CÁDIZ SPA;186;06/01/2026;06/01/2026 11:18:25;;0;1321920;251165;;;1573085;;;;;0;;;;0;;;;
34;33;Del Giro;96726970-0;CHILEMAT SpA;4916021;06/01/2026;06/01/2026 13:15:44;;0;47336;8994;;;56329;;;;;0;;;;0;;;;
35;33;Del Giro;96568740-8;GASCO GLP S.A.;11888022;03/01/2026;06/01/2026 15:37:35;;0;155429;29532;;;184961;;;;;0;;;;0;;;;
36;33;Del Giro;96726970-0;CHILEMAT SpA;4916430;07/01/2026;07/01/2026 08:42:25;;0;1278119;242843;;;1520961;;;;;0;;;;0;;;;
37;33;Del Giro;96726970-0;CHILEMAT SpA;4916544;07/01/2026;07/01/2026 12:07:25;;0;178059;33831;;;211890;;;;;0;;;;0;;;;
38;33;Del Giro;96726970-0;CHILEMAT SpA;4916590;07/01/2026;07/01/2026 12:19:01;;0;249699;47443;;;297142;;;;;0;;;;0;;;;
39;33;Del Giro;96726970-0;CHILEMAT SpA;4916591;07/01/2026;07/01/2026 12:19:01;;0;160154;30429;;;190583;;;;;0;;;;0;;;;
40;33;Del Giro;96726970-0;CHILEMAT SpA;4916665;07/01/2026;07/01/2026 12:25:55;;0;454461;86348;;;540809;;;;;0;;;;0;;;;
41;33;Del Giro;77340834-3;CC HNOS SPA;241;07/01/2026;07/01/2026 12:38:48;;0;920000;174800;;;1094800;;;;;0;;;;0;;;;
42;33;Del Giro;96726970-0;CHILEMAT SpA;4916858;07/01/2026;07/01/2026 12:46:19;;0;279390;53084;;;332474;;;;;0;;;;0;;;;
43;33;Del Giro;76613017-8;COM.Y DISTR. LOS PINOS DE MONTEMAR LTDA;96693;07/01/2026;07/01/2026 15:16:42;;0;1091589;207402;;;1298991;;;;;0;;;;0;;;;
